372,Alice,Medrich
374,Alice,Miller
375,Alice,Munro
377,Alice,Sebold
378,Alice,Walker
379,Alison,Weir
381,Allison,Pearson
383,Amartya,Sen
384,Amelia,Atwater-Rhodes
385,Amy,Tan
387,AnaÃ¯s,Nin
389,Andre,Dubus
390,Andrea,Camilleri
391,Andrea,Levy
392,Andrew,Hunt
394,Andrew,Solomon
395,Andy,Griffiths
396,Angela,Knight
397,Angus,Wells
398,Anita,Desai
399,Anita,Diamant
400,Anita,Shreve
401,Ann,Beattie
402,Ann,Brashares
403,Ann,Packer
404,Ann,Patchett
405,Ann,Rinaldi
406,Ann,Rule
407,Anna,Maxted
408,Anna,Sewell
409,Anne,Lamott
410,Anne,Mazer
412,Anne,McCaffrey
416,Anne,Stuart
417,Anne,Tyler
418,Annie,Dillard
419,Annie,Proulx
420,Ann-Marie,MacDonald
421,Anonymous,
422,Ansel,Adams
423,Anthony,Bourdain
426,Anthony,Loyd
427,Anthony,Powell
428,Anthony,Thorlby
430,Anton,Chekhov
431,Antonia,Fraser
432,Antonio,Negri
433,Antony,Beevor
434,Anya,Seton
435,Apollodorus,
436,Aristophanes,
437,Aristotle,
438,Armistead,Maupin
439,Art,Spiegelman
443,Arthur,Golden
444,Arthur,Koestler
446,Arthur,Miller
448,Astrid,Lindgren
449,Audrey,Niffenegger
450,Augusten,Burroughs
454,Ayn,Rand
456,Azar,Nafisi
457,Barack,Obama
458,Barbara,Conklin
459,Barbara,Ehrenreich
460,Barbara,Kingsolver
461,Barbara,Nadel
462,Barbara,Park
464,Barry,Lopez
465,Barthe,DeClements
466,Beatrix,Potter
467,bell,hooks
468,Ben,Elton
469,Bernard,Cornwell
471,Bernard,Malamud
472,Bernard,Williams
473,Betty,MacDonald
474,Bill,Bryson
476,Bill,Clinton
477,Bill,Hybels
478,Bill,Maher
479,Bill,Phillips
480,Bill,Watterson
481,Billy,Collins
482,Billy,Crystal
483,Blake,Nelson
485,Bob,Woodward
487,Brad,Thor
488,Brady,Games
489,Bram,Stoker
491,Brenda,Joyce
494,Brian,Greene
495,Brian,Herbert
496,Brian,Jacques
499,Brian,Sibley
500,Bruce,Catton
501,Bruce,Coville
502,Bryan,Sykes
503,Bryce,Courtenay
504,C.D.,Payne
505,C.E.,Murphy
506,C.S.,Friedman
507,C.S.,Lewis
509,Cait,London
510,Candace,Bushnell
511,Candace,Ward
512,Carl,Hiaasen
514,Carlos,CastaÃ±eda
517,Carol,Shields
518,Carole,Marsh
520,Carolyn,Keene
522,Carolyn,Meyer
523,Carrie,Vaughn
525,Catherine,Coulter
526,Catherine,Hapka
527,Cecelia,Ahern
529,Celeste,Bradley
530,Chaim,Potok
531,Charlaine,Harris
532,Charles,Baudelaire
533,Charles,Bukowski
534,Charles,Burns
535,Charles,Darwin
538,Charles,Frazier
540,Charles,Stross
541,Charles,Taylor
542,Charles,Todd
543,Charles,Willeford
545,Charlie,Huston
546,Charlotte,BrontÃ«
547,Cheri,Huber
548,Chie,Shinohara
549,Chiho,Saito
550,Chinua,Achebe
552,Chris,Manby
553,Chris,Offutt
554,Chris,Ware
555,Christina,Scull
556,Christine,Feehan
558,Christopher,Isherwood
559,Christopher,Janaway
560,Christopher,Moore
561,Chuck,Klosterman
562,Chuck,Palahniuk
564,Claire,Messud
565,CLAMP,
567,Clive,Barker
568,Clive,Cussler
570,Colin,Wells
571,Colin,Wilson
572,Colleen,McCullough
573,Colm,TÃ³ibÃ­n
574,Colson,Whitehead
575,Confucius,
576,Connie,Willis
578,Cormac,McCarthy
579,Cornelia,Funke
580,Cory,Doctorow
581,Craig,Thompson
582,Cynthia,Harrod-Eagles
583,Cynthia,Rylant
584,Cynthia,Voigt
585,D.H.,Lawrence
587,D.T.,Max
588,Daisy,Meadows
590,Dale,Brown
591,Dale,Carnegie
592,Dale,Peck
593,Dan,Birlew
594,Dan,Brown
596,Dan,Harrington
597,Dan,Millman
598,Dan,Savage
599,Dan,Simmons
603,Daniel,Clowes
604,Daniel,Defoe
605,Daniel,Goleman
607,Daniel,Keyes
608,Daniel,Wallace
609,Danielle,Steel
610,Dante,Alighieri
611,Danzy,Senna
612,Darren,Shan
613,Dashiell,Hammett
614,Dava,Sobel
617,David,Allen
618,David,Almond
619,David,Baldacci
620,David,Bodanis
621,David,Burnie
624,David,Eddings
627,David,Gemmell
628,David,Goodis
633,David,Lindsay-Abaire
634,David,Lubar
635,David,Malouf
636,David,Mamet
637,David,McCullough
638,David,Mitchell
639,David,Morrell
640,David,Noonan
641,David,Pogue
644,David,Robbins
645,David,Sedaris
647,David,Weber
650,Debra,Hess
651,Delia,Sherman
652,Denis,Diderot
653,Denis,Johnson
654,Denise,Dersin
655,Dennis,Lehane
656,Diana,Gabaldon
657,Diana,Palmer
659,Diane,Johnson
660,Dick,Francis
661,Dixie,Cash
662,Don,DeLillo
664,Don,Rosa
666,Donald,Goines
668,Donald,Miller
669,Donald,Spoto
670,Donna,Tartt
